GeneName,group,group2,group3,desc,notes
cyoA,denitrification,Cyo,a,"bo3 quinol oxidase, terminal electron acceptor",
cyoB,denitrification,Cyo,a,"bo3 quinol oxidase, terminal electron acceptor",
cyoC,denitrification,Cyo,a,"bo3 quinol oxidase, terminal electron acceptor",
cyoD,denitrification,Cyo,a,"bo3 quinol oxidase, terminal electron acceptor",
cyoE,denitrification,Cyo,a,"bo3 quinol oxidase, terminal electron acceptor",
pqsA,quorum_sensing_biofilm,quorum_sensing,b,,
pqsD,quorum_sensing_biofilm,quorum_sensing,b,,
pqsE,quorum_sensing_biofilm,quorum_sensing,b,,
tpbA,quorum_sensing_biofilm,quorum_sensing,b,,
phhA,quorum_sensing_biofilm,quorum_sensing,b,,
phhB,quorum_sensing_biofilm,quorum_sensing,b,,
phhC,quorum_sensing_biofilm,quorum_sensing,b,,
cupD5,quorum_sensing_biofilm,biofilm,b,,
exbB1,iron,iron_uptake,d,,
exbD1,iron,iron_uptake,d,,
tonB2,iron,iron_uptake,d,,
feoB,iron,iron_uptake,d,,
arcA,misc,arginine_deiminase,e,,Dependent on ANR
arcB,misc,arginine_deiminase,e,,Dependent on ANR
arcC,misc,arginine_deiminase,e,,Dependent on ANR
arcD,misc,arginine_deiminase,e,,Dependent on ANR
aroP2,misc,carbon_catab_repress,e,,
hcnA,misc,cyanide_synthesis,e,HCN biosynthesis,"Dependent on LasR, RhlR and ANR, induced by oxygen-limiting conditions, abolished by iron depletion"
hcnB,misc,cyanide_synthesis,e,HCN biosynthesis,"Dependent on LasR, RhlR and ANR, induced by oxygen-limiting conditions, abolished by iron depletion"
hcnC,misc,cyanide_synthesis,e,HCN biosynthesis,"Dependent on LasR, RhlR and ANR, induced by oxygen-limiting conditions, abolished by iron depletion"
lldA,misc,l_lactate_utilization,e,,
lldD,misc,l_lactate_utilization,e,,
hsiA2,misc,T6SS,e,,Dependent on ANR
hsiB2,misc,T6SS,e,,Dependent on ANR
ureE,misc,urea_hydrolysis,e,,
ureF,misc,urea_hydrolysis,e,,
ureG,misc,urea_hydrolysis,e,,
pgl,misc,carbon_catab_repress,e,,
ccpR,misc,cytochrome_c_oxidation,e,,
snr1,misc,cytochrome_c_oxidation,e,,
adhA,misc,ethanol_oxidation,e,,
anr,global_reg,Global_Regulators,f,,Responds to iron availability
dnr,global_reg,Global_Regulators,f,,