GeneName,source,cc_group,cc_group2,is_na,is_sig,sources
gcd,dolan,central_metabolism,peripheral_pathways,0,0,
gnd,dolan,central_metabolism,peripheral_pathways,0,0,
gntK,dolan,central_metabolism,peripheral_pathways,1,0,
kguK,dolan,central_metabolism,peripheral_pathways,1,0,
kguD,dolan,central_metabolism,peripheral_pathways,1,0,
ascA,dolan,central_metabolism,peripheral_pathways,1,0,
ackA,dolan,central_metabolism,peripheral_pathways,1,0,
pta,dolan,central_metabolism,peripheral_pathways,0,0,
glpK,dolan,central_metabolism,peripheral_pathways,0,0,
glpD,dolan,central_metabolism,peripheral_pathways,0,1,
gpsA,dolan,central_metabolism,peripheral_pathways,0,0,
edd,dolan,central_metabolism,EDP,0,1,
eda,dolan,central_metabolism,EDP,1,0,
zwf,dolan,central_metabolism,PPP,0,1,
pgl,dolan,central_metabolism,PPP,0,1,
rpe,dolan,central_metabolism,PPP,0,0,
rpiA,dolan,central_metabolism,PPP,0,0,
tktA,dolan,central_metabolism,PPP,0,0,
tal,dolan,central_metabolism,PPP,0,0,
glk,dolan,central_metabolism,EMPP,0,0,
pgi,dolan,central_metabolism,EMPP,0,0,
fbp,dolan,central_metabolism,EMPP,0,0,
fda,dolan,central_metabolism,EMPP,0,0,
tpiA,dolan,central_metabolism,EMPP,0,0,
gapA,dolan,central_metabolism,EMPP,0,0,
gapB,dolan,central_metabolism,EMPP,1,0,
pgk,dolan,central_metabolism,EMPP,0,0,
pgm,dolan,central_metabolism,EMPP,0,0,
eno,dolan,central_metabolism,EMPP,0,0,
pykA,dolan,central_metabolism,EMPP,0,0,
ppsA,dolan,central_metabolism,EMPP,0,0,
aceE,dolan,central_metabolism,KCGC,0,0,
aceF,dolan,central_metabolism,KCGC,0,0,
lpdG,dolan,central_metabolism,KCGC,0,0,
gltA,dolan,central_metabolism,KCGC,0,0,
prpC,dolan,central_metabolism,KCGC,0,1,
acnA,dolan,central_metabolism,KCGC,0,0,
acnB,dolan,central_metabolism,KCGC,0,0,
icd,dolan,central_metabolism,KCGC,0,0,
idh,dolan,central_metabolism,KCGC,0,0,
sucA,dolan,central_metabolism,KCGC,0,0,
sucB,dolan,central_metabolism,KCGC,0,0,
lpd3,dolan,central_metabolism,KCGC,0,0,
sucC,dolan,central_metabolism,KCGC,0,0,
sucD,dolan,central_metabolism,KCGC,0,0,
sdhC,dolan,central_metabolism,KCGC,0,0,
sdhD,dolan,central_metabolism,KCGC,0,0,
sdhA,dolan,central_metabolism,KCGC,0,0,
sdhB,dolan,central_metabolism,KCGC,0,0,
fumC1,dolan,central_metabolism,KCGC,1,0,
fumC2,dolan,central_metabolism,KCGC,0,0,
fumA,dolan,central_metabolism,KCGC,1,0,
mqoA,dolan,central_metabolism,KCGC,0,0,
mqoB,dolan,central_metabolism,KCGC,0,0,
aceA,dolan,central_metabolism,KCGC,1,0,
glcB,dolan,central_metabolism,KCGC,0,0,
maeA,dolan,central_metabolism,AG,1,0,
maeB,dolan,central_metabolism,AG,0,0,
oadA,dolan,central_metabolism,AG,1,0,
accC,dolan,central_metabolism,AG,0,0,
ppc,dolan,central_metabolism,AG,0,0,
pckA,dolan,central_metabolism,AG,0,0,
antA,sja,benzoate-catechol,,0,1,
antB,sja,benzoate-catechol,,0,1,
antC,sja,benzoate-catechol,,0,1,
benD,sja,benzoate-catechol,,0,1,
catA,sja,benzoate-catechol,,0,1,
catB,sja,benzoate-catechol,,0,1,
catC,sja,benzoate-catechol,,0,1,
catR,sja,benzoate-catechol,,0,1,
pcaF,sja,benzoate-catechol,,0,1,
pcaK,sja,benzoate-catechol,,0,1,
pobA,sja,benzoate-catechol,,0,1,
hmg,sja,aa_transport_degradation,,1,0,https://repositories.lib.utexas.edu/bitstream/handle/2152/18214/palmerk22673.pdf?sequence=2&isAllowed=y
fahA,sja,aa_transport_degradation,,0,1,
maiA,sja,aa_transport_degradation,,0,1,
actP,sja,fatty_acid_metabolism,,0,1,
fadD2,sja,fatty_acid_metabolism,,0,1,
cbrB,sja,carb_catab_repress,,0,0,
exaA,sja,PQQ_biosynthesis,,0,1,
exaB,sja,PQQ_biosynthesis,,0,1,
hutH,sja,aminoacid_metabolism_transport,,0,1,
hutG,sja,aminoacid_metabolism_transport,,0,1,
hutI,sja,aminoacid_metabolism_transport,,0,1,
hutU,sja,aminoacid_metabolism_transport,,0,1,
soxS,sja,,,1,0,
pqqD,sja,misc,quinolone_signaling,0,1,
lipA,sja,misc,lipase,0,1,
gabP,sja,misc,glucose_transport_metabolism,0,1,
aspA,sja,misc,asparate_metabolism,0,1,
spuB,sja,polyamine_utilization,,0,1,
spuC,sja,polyamine_utilization,,0,1,
spuE,sja,polyamine_utilization,,0,1,
spuG,sja,polyamine_utilization,,0,1,
spuH,sja,polyamine_utilization,,0,1,
yajC,sja,,,0,0,
bacA,sja,,,0,0,
plsX,sja,,,0,0,
ureE,sja,misc,,0,1,
ssuB,sja,,,0,0,
ssuD,sja,,,0,0,
oprG,sja,aminoacid_metabolism_transport,,0,1,
ccpR,sja,,,0,1,
pscK,sja,,,0,0,
murG,sja,,,0,0,
murF,sja,,,0,0,
murE,sja,,,0,0,
putP,sja,,,0,0,
pabC,sja,,,0,0,
truA,sja,,,0,0,